PDF,Entities,Relationships
1.pdf,"[('Pristina Airport', 'LOC'), ('Vendor 1', 'ORG'), ('Vendor 2', 'ORG'), ('Vendor 3', 'ORG'), ('Vendor 4', 'ORG'), ('Kosovo', 'LOC'), ('ITF', 'ORG'), ('Kosovo Organised Crime Bureau', 'ORG'), ('International Prosecutor', 'PER'), ('UNMIK Department of Justice', 'ORG')]","[('Vendor 1', 'Vendor 2', 'same owner', 'NE'), ('Vendor 1', 'Pristina Airport', 'tendered', 'NE'), ('Vendor 2', 'Pristina Airport', 'tendered', 'NE'), ('Vendor 3', 'Pristina Airport', 'tendered', 'NE'), ('Vendor 4', 'Pristina Airport', 'tendered', 'NE'), ('Vendor 1', 'Kosovo', 'based in', 'NE'), ('Vendor 2', 'Kosovo', 'based in', 'NE'), ('Vendor 1', 'Vendor 2', 'competitive bidding', 'NG'), ('ITF', 'Kosovo Organised Crime Bureau', 'supported by', 'NE'), ('ITF', 'International Prosecutor', 'submitted to', 'NE'), ('International Prosecutor', 'UNMIK Department of Justice', 'part of', 'NE')]"
10.pdf,"[('DOTI Official 3', 'PER'), ('Staff member 1', 'PER'), ('Official 2', 'PER'), ('Vendor', 'ORG'), ('Cargo Apron', 'ORG'), ('bid opening committee', 'ORG'), ('evaluation committee', 'ORG'), ('UN', 'ORG'), ('Office of the Legal Adviser', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP Official', 'PER'), ('Staff Member 3', 'PER'), ('Pristina Airport', 'LOC'), ('Evaluation Company', 'ORG'), ('Project Engineer', 'PER'), ('UNMIK', 'ORG'), ('DOTI Official 1', 'PER'), ('Staff member 2', 'PER'), ('Procurement Official', 'PER'), ('Airport Engineer 1', 'PER'), ('Consulting Company', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('KFOR', 'ORG'), ('ICAO', 'ORG'), ('Investigation Task Force', 'ORG'), ('Public Enterprise Airport Pristina', 'ORG'), ('Cargo Terminal', 'ORG'), ('DOTI Official 2', 'MISC'), ('geographical survey', 'MISC'), ('CPE Procurement Officer', 'MISC'), ('Official 1', 'MISC'), ('Pillar II', 'MISC'), ('Pristina International Airport', 'MISC')]","[('DOTI Official 3', 'Staff member 1', 'sent memo to', 'NE'), ('Official 2', 'Vendor', 'chose', 'NE'), ('Official 2', 'bid opening committee', 'member of', 'NE'), ('Official 2', 'evaluation committee', 'member of', 'NE'), ('bid opening committee', 'evaluation committee', 'overlapped with', 'NG'), ('Vendor', 'Cargo Apron', 'worked on', 'NE'), ('Divisional Manager', 'Vendor', 'comments on', 'NE'), ('PEAP Official', 'Vendor', 'criticizes', 'NG'), ('Pristina Airport', 'Cargo Terminal', 'location of', 'NE'), ('Evaluation Company', 'Project Engineer', 'employed by', 'NE'), ('Evaluation Company', 'Pristina Airport', 'designed', 'NE'), ('DOTI Official 1', 'Staff member 2', 'signed memo by', 'NE'), ('DOTI Official 2', 'geographical survey', 'organised', 'NE'), ('DOTI Official 2', 'Airport Engineer 1', 'conflicted with', 'NG'), ('DOTI Official 2', 'Evaluation Company', 'used study from', 'NE'), ('DOTI Official 2', 'Procurement Official', 'sent to', 'NE'), ('DOTI Official 2', 'CPE Procurement Officer', 'received help from', 'NE'), ('DOTI Official 1', 'UNMIK', 'worked at', 'NE'), ('Official 2', 'UNMIK', 'worked at', 'NE'), ('Official 1', 'UNMIK', 'worked at', 'NE'), ('DOTI Official 1', 'DOTI Official 2', 'supervised', 'NE'), ('Airport Engineer 1', 'Consulting Company', 'employed by', 'NE'), ('Pillar II', 'Kosovo Trust Agency', 'responsibility transferred to', 'NE'), ('Pristina International Airport', 'KFOR', 'under jurisdiction of', 'NE'), ('Pristina International Airport', 'ICAO', 'under regulations of', 'NE')]"
105.pdf,"[('NSA', 'ORG'), ('Japanese Ministry', 'ORG'), ('Shinzo Abe', 'PER'), ('George W Bush', 'PER'), ('US', 'LOC'), ('Washington DC', 'LOC'), (""Abe's government"", 'ORG'), ('Bush administration', 'ORG'), ('National Security Agency', 'ORG'), ('METI', 'ORG'), ('Ministry of Foreign Affairs', 'ORG'), ('Abe initiative', 'EVT'), ('Washington', 'MISC'), ('Abe', 'MISC')]","[('NSA', 'Japanese Ministry', 'intercepted', 'NE'), ('Shinzo Abe', 'Washington DC', 'visited', 'NE'), ('Shinzo Abe', 'George W Bush', 'talked with', 'NE'), (""Abe's government"", 'US', 'considered not informing', 'NG'), (""Abe's government"", 'Bush administration', 'opposed by', 'NG'), ('National Security Agency', ""Abe's government"", 'aware of', 'NE'), ('METI', 'Shinzo Abe', 'preparing for visit', 'NE'), ('METI', 'US', 'wanted agreement', 'NE'), ('Ministry of Foreign Affairs', 'Shinzo Abe', 'wants mention', 'NE'), ('Ministry of Foreign Affairs', 'US', 'considered not informing', 'NG'), ('Ministry of Foreign Affairs', 'Washington', 'did not expect approval', 'NG'), ('Abe', 'US', 'stated goal to', 'NE')]"
106.pdf,"[('Tokyo', 'LOC'), ('Japanese officials', 'PER'), ('International Energy Agency', 'ORG'), ('IEA', 'ORG'), ('European Union', 'ORG'), ('Fatih Birol', 'PER'), ('Masakazu Toyoda', 'PER'), ('Ministry of Economy', 'ORG'), ('China', 'LOC'), ('India', 'LOC'), ('U.S.', 'LOC'), ('Emissions Trading Scheme', 'ORG'), ('sectoral approach', 'MISC')]","[('Tokyo', 'Japanese officials', 'location of', 'NE'), ('Japanese officials', 'IEA', 'criticized by', 'NG'), ('Japanese officials', 'European Union', 'criticized by', 'NG'), ('Fatih Birol', 'IEA', 'works at', 'NE'), ('Fatih Birol', 'Japanese officials', 'warned', 'NG'), ('Masakazu Toyoda', 'Ministry of Economy', 'works at', 'NE'), ('Masakazu Toyoda', 'Japanese officials', 'represents', 'NE'), ('China', 'sectoral approach', 'included in', 'NE'), ('India', 'sectoral approach', 'included in', 'NE'), ('U.S.', 'sectoral approach', 'included in', 'NE'), ('Emissions Trading Scheme', 'European Union', 'located in', 'NE'), ('European Union', 'sectoral approach', 'opposed to', 'NG'), ('Japanese officials', 'sectoral approach', 'supports', 'PV')]"
107.pdf,"[('NSA', 'ORG'), ('Japanese government', 'ORG'), ('G-8 Summit', 'EVT'), ('Lake Toya', 'LOC'), ('Nobutaka Machimura', 'PER'), ('United States', 'LOC'), ('Australia', 'LOC'), ('Canada', 'LOC'), ('Great Britain', 'LOC'), ('New Zealand', 'LOC'), ('Ministry of Economy Trade and Industry', 'ORG'), ('Ministry of Foreign Affairs', 'ORG'), ('Ministry of Finance', 'ORG'), ('Ministry of Environment', 'ORG')]","[('NSA', 'Japanese government', 'monitored', 'NE'), ('Japanese government', 'G-8 Summit', 'participated in', 'NE'), ('G-8 Summit', 'Lake Toya', 'held in', 'NE'), ('Japanese government', 'Nobutaka Machimura', 'briefed', 'NE'), ('United States', 'Australia', 'intelligence partner', 'NE'), ('United States', 'Canada', 'intelligence partner', 'NE'), ('United States', 'Great Britain', 'intelligence partner', 'NE'), ('United States', 'New Zealand', 'intelligence partner', 'NE'), ('Ministry of Economy Trade and Industry', 'Japanese government', 'part of', 'NE'), ('Ministry of Foreign Affairs', 'Japanese government', 'part of', 'NE'), ('Ministry of Finance', 'Japanese government', 'part of', 'NE'), ('Ministry of Environment', 'Japanese government', 'part of', 'NE')]"
108.pdf,"[('Japan', 'LOC'), ('U.S.', 'LOC'), ('MAFF', 'ORG'), ('U.S. Department of Agriculture', 'ORG'), ('Washington', 'LOC')]","[('Japan', 'U.S.', 'relations with', 'NE'), ('MAFF', 'U.S. Department of Agriculture', 'dispute with', 'NG'), ('MAFF', 'Washington', 'communication with', 'NE'), ('Japan', 'Washington', 'avoid politicization in', 'NE')]"
11.pdf,"[('Pristina Airport', 'LOC'), ('UNMIK', 'ORG'), ('Pillar II', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('DOTI', 'ORG'), ('Transport Sector', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('Pillar IV', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP', 'ORG'), ('Air Traffic Control Services', 'ORG'), ('KFOR', 'ORG'), ('ICAO', 'ORG'), ('Airport Engineer I', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('Consultant', 'PER'), ('Consulting Firm', 'ORG'), ('ITF', 'ORG'), ('United Nations', 'ORG'), ('Yugoslavian law', 'ORG'), ('armed forces', 'MISC'), ('Pristina International Airport', 'MISC'), ('Executive Decision No 2003/16', 'MISC'), ('Military Units', 'MISC')]","[('Pristina Airport', 'UNMIK', 'administered by', 'NE'), ('Official 1', 'Pillar II', 'part of', 'NE'), ('Official 2', 'Pillar II', 'part of', 'NE'), ('DOTI', 'Pillar II', 'supervised by', 'NE'), ('Official 1', 'DOTI', 'works at', 'NE'), ('Transport Sector', 'DOTI', 'same as', 'NE'), ('Official 1', 'UNMIK', 'left', 'NE'), ('Official 2', 'DOTI', 'recruited by', 'NE'), ('Airport Engineer I', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 2', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 3', 'armed forces', 'seconded from', 'NE'), ('Consultant', 'Consulting Firm', 'from', 'NE'), ('Pristina Airport', 'Pillar II', 'responsibility passed from', 'NE'), ('Pristina Airport', 'Kosovo Trust Agency', 'responsibility passed to', 'NE'), ('Pristina Airport', 'Pillar IV', 'responsibility passed to', 'NE'), ('Divisional Manager', 'Kosovo Trust Agency', 'appointed at', 'NE'), ('PEAP', 'Divisional Manager', 'under', 'NE'), ('Air Traffic Control Services', 'Divisional Manager', 'under', 'NE'), ('Pristina International Airport', 'KFOR', 'under jurisdiction of', 'NE'), ('Pristina International Airport', 'ICAO', 'under regulations', 'NE'), ('ITF', 'Executive Decision No 2003/16', 'established by', 'NE'), ('Pristina International Airport', 'Yugoslavian law', 'state owned enterprise under', 'NE'), ('PEAP', 'Military Units', 'cooperation with', 'NE'), ('Pristina International Airport', 'UNMIK', 'administer', 'NE')]"
110.pdf,"[('EU', 'ORG'), ('Japan', 'LOC'), ('U.S.', 'ORG'), ('Toshikatsu Matsuoka', 'PER'), ('Marianne Fischer-Boel', 'PER'), ('Klaus-Dieter Borchardt', 'PER')]","[('EU', 'Japan', 'collaborated with', 'NE'), ('EU', 'U.S.', 'negotiated with', 'NE'), ('Japan', 'U.S.', 'negotiated with', 'NE'), ('Toshikatsu Matsuoka', 'Japan', 'represents', 'NE'), ('Marianne Fischer-Boel', 'EU', 'represents', 'NE'), ('Klaus-Dieter Borchardt', 'Marianne Fischer-Boel', 'works for', 'NE'), ('EU', 'U.S.', 'disagreed with', 'NG')]"
111.pdf,"[('Angela Merkel', 'PER'), ('Nicolas Sarkozy', 'PER'), ('Silvio Berlusconi', 'PER'), ('Valentino Valentini', 'PER'), ('Rome government', 'ORG'), ('Italy', 'LOC'), ('Herman Van Rompuy', 'PER'), ('EU', 'ORG'), ('Spain', 'LOC')]","[('Angela Merkel', 'Silvio Berlusconi', 'pressured', 'NG'), ('Nicolas Sarkozy', 'Silvio Berlusconi', 'pressured', 'NG'), ('Valentino Valentini', 'Silvio Berlusconi', 'advised', 'NE'), ('Nicolas Sarkozy', 'Silvio Berlusconi', 'criticized', 'NG'), ('Herman Van Rompuy', 'Italy', 'urged', 'NE'), ('Italy', 'Spain', 'should emulate', 'NE')]"
112.pdf,"[('Israel', 'LOC'), ('Europe', 'LOC'), ('Italy', 'LOC'), ('United States', 'LOC'), ('Silvio Berlusconi', 'PER'), ('Binyamin Netanyahu', 'PER'), ('Golda Meir', 'PER'), ('Palestinians', 'PER'), ('U.S. President', 'PER')]","[('Israel', 'Europe', 'sought help from', 'NE'), ('Israel', 'Italy', 'sought help from', 'NE'), ('Israel', 'United States', 'has rift with', 'NG'), ('Silvio Berlusconi', 'Italy', 'PM of', 'NE'), ('Binyamin Netanyahu', 'Israel', 'PM of', 'NE'), ('Binyamin Netanyahu', 'Golda Meir', 'followed policy of', 'NE'), ('Israel', 'Palestinians', 'in dispute with', 'NG'), ('Binyamin Netanyahu', 'U.S. President', 'lacks contact with', 'NG'), ('Italy', 'Israel', 'offered help to', 'PV'), ('Israel', 'United States', 'relations at low point with', 'NG')]"
